qid,query
train_1,"Who is the author of the book Horrors^3 of Slavery^3 or the American^2 Turf^3 in Tripoli^3 ""American Turf""^4"
train_2,"Who was the Grand^3 Officer^3 of the Legion^3 of Honor^3 ""Grand Officer""^4"
train_3,What country was Gen^2 de Rosemberg^3 formerly Marshal^3 of
train_4,"What was the title of Rev^2 Joseph^3 McKean^3 ""Rev Joseph McKean""^4"
train_5,"Who was the wife of Mr^3 Spencer^3 L^3 at Westmoreland^3 ""Mr Spencer L""^4"
train_6,"Who was Mrs^2 Sally^3 Lincoln^3 s husband ""Mrs Sally Lincoln""^4"
train_7,"On what day was Mrs^2 Polly^3 Adams^3 consort^2 at Henrico^3 ""Mrs Polly Adams""^4"
train_8,Who was found dead in the road on August^2 01^2 1807^2 the 11th^2 ult^2
train_9,"When was the Red^3 Morocco^3 Pocket^3 Book^3 lost ""Red Morocco Pocket Book""^4"
train_10,What is the number of the agency that sells Bitters^3
train_11,Who is the Vendor^3 of Bitters^3 in Portsmouth^3
train_12,"Who received a large assortment of JEWELRY^3 and other fancy Goods^3 at his store in Market^2 Street^2 ""Market Street""^4"
train_13,"How much was the third assessment of St^3 John^3 s Church^3 ""St John""^4"
train_14,"When is the third assessment of Twenty^3 Dollars^3 hereby laid on each and every share payable to the agents ""Twenty Dollars""^4"
train_15,"How many barrels of Alexandria^3 Flour^3 were for sale by LADD^3 SMITH^3 ""Alexandria Flour""^4 ""LADD SMITH""^4"
train_16,"Who sold 150^2 barrels of Alexandria^3 Flour^3 ""Alexandria Flour""^4"
train_17,"Who sold BILIT^3 BT^3 o et A POLLOCK^3 FISH^3 ""BILIT BT""^4 ""A POLLOCK FISH""^4"
train_18,"How many Quintals^3 of best Panama^3 quaddy Pollock^3 were for sale by Joseph^3 Y^3 Burgin^3 ""Joseph Y Burgin""^4"
train_19,"Who occupied the Distill^3 House^3 formerly occupied by JOSEPH^3 JOHN^3 CALDWELL^3 ""Distill House""^4 ""JOSEPH JOHN CALDWELL""^4"
train_20,"When will the shares in Turnpike^3 Road^3 be sold at Public^3 Vendue^3 ""Turnpike Road""^4 ""Public Vendue""^4"
train_21,"What is the name of the company that owns Turnpike^3 Road^3 ""Turnpike Road""^4"
train_22,"How many shares are in Turnpike^3 Road^3 ""Turnpike Road""^4"
train_23,"What is the number of shares in Turnpike^3 Road^3 that will be sold at Public^3 Vendue^3 ""Turnpike Road""^4 ""Public Vendue""^4"
train_24,"How many shares will be sold at Public^3 Vendue^3 ""Public Vendue""^4"
train_25,"Who was the Ditto^3 of Samuel^3 Abbot^3 ""Samuel Abbot""^4"
train_26,"How many people lived in Thomas^3 Griffin^3 s house ""Thomas Griffin""^4"
train_27,Who was the owner of the house in Chichester^3
train_28,"Who was the owner of Ditto^3 4^2 74^2 II^3 50^2 5^2 4210^2 9^2 Benjamin^3 Fowler^3 ""Benjamin Fowler""^4"
train_29,How many dittos were in the City^3 of BOSTON^3
train_30,Who is the owner of the Bag^3 ke w mT
train_31,"When did the Dedham^3 Turnip^3 Seed^3 grow ""Dedham Turnip Seed""^4"
train_32,"On what days shall subscribers attend the office of Jeremiah^3 Lib^3 bey ""Jeremiah Lib""^4"
train_33,"When was the celebration of American^2 Independence^3 ""American Independence""^4"
train_34,On what day did Columbia^3 become a nation
train_35,The ideas of delicacy entertained by British^2 ladies are approximating in a certain ratio to that of the females of what ancient city
train_36,"How many by 8^2 is Bristol^3 crown Window^3 Glass^3 ""Window Glass""^4"
train_37,"How many by 10^2 Bristol^3 crown Window^3 Glasses^3 are there ""Window Glasses""^4"
train_38,"How many by 12^2 Bristol^3 crown Window^3 Glasses^3 are there ""Window Glasses""^4"
train_39,"How many pieces of Bristol^3 crown Window^3 Glass^3 are in 60^2 foot boxes ""Window Glass""^4"
train_40,"How many by 14^2 Bristol^3 crown Window^3 Glasses^3 are there ""Window Glasses""^4"
train_41,"How many by 15^2 Bristol^3 crown Window^3 Glasses^3 are there ""Window Glasses""^4"
train_42,How many lots of land will be sold by order of the Judge^3 of Probate^3 for the County^3 of Rockingham^3
train_43,Who was the late of Portsmouth^3 esquire
train_44,"How many Towns^3 did Isaac^3 Rindge^3 own ""Isaac Rindge""^4"
train_45,"How many lots of B^3 Orange^3 are in the county of Rockingham^3 ""B Orange""^4"
train_46,"How many lots of land are in New^3 Chester^3 ""New Chester""^4"
train_47,"How many lots of land are on the south side of the Androscoggin^3 River^3 ""Androscoggin River""^4"
train_48,"When are OBRS^3 PERFORMERS^3 OF THE ART^3 ""OBRS PERFORMERS OF THE ART""^4"
train_49,When did the HOUSE^3 and tenement in Washington^3 street become available for sale
train_50,How many acres does No^3 3^2 contain
train_51,"How many acres were seized by JAMES^3 HIGHT^3 ""JAMES HIGHT""^4"
train_52,"Who was the guardian of John^3 Gerrish^3 and Alphonzo^3 Gerrish^3 ""John Gerrish""^4 ""Alphonzo Gerrish""^4"
train_53,Who are the officers of at Dover^3
train_54,"Who was the father of John^3 Gerrish^3 and Alphonzo^3 Gerrish^3 ""John Gerrish""^4 ""Alphonzo Gerrish""^4"
train_55,How many acres is the Farm^3 in Moultonborough^3
train_56,"When did the petitioner first appear before the Justices^3 of the Superior^3 Court^3 of Judicature^3 ""Superior Court""^4"
train_57,"When was the February^2 1806^2 term of the Superior^3 Court^3 in Strafford^3 ""Superior Court""^4"
train_58,"How long did it take for the petition to be published in the New^3 Hampshire^3 Gazette^3 ""New Hampshire Gazette""^4"
train_59,"How long before the end of the term was the last publication of the petition in the New^3 Hampshire^3 Gazette^3 ""New Hampshire Gazette""^4"
train_60,"When was the sale of the land agreed to by John^3 Kenney^3 ""John Kenney""^4"
train_61,"Who did James^3 Hersey^3 sell a lot of land to ""James Hersey""^4"
train_62,Who took a plan of lots in 1789^2
train_63,"What time is the Probate^3 Court^3 held at Exeter^3 on the 28th^2 day of August^2 1806^2 next ""Probate Court""^4"
train_64,"What is the store number of WILLIAM^3 FONES^3 Jr^3 ""WILLIAM FONES Jr""^4"
train_65,"In what city did William^3 FONES^3 Jr^3 find light and dark Prints^3 ""William FONES Jr""^4"
train_66,"Who is the heir to the estate of MW^3 Daniel^3 Clay^3 ""MW Daniel Clay""^4"
train_67,"Who is the heir to David^3 Clay^3 s estate ""David Clay""^4"
train_68,"Who is the Administratrix^3 of the estate of CHASE^3 CROCKETT^3 ""CHASE CROCKETT""^4"
train_69,"On what day did Mr^3 Martin^3 speak again from 9^2 in the morning until nearly 3^2 o clock in the afternoon ""Mr Martin""^4"
train_70,Who spoke again from 9^2 in the morning until nearly 3^2 o clock in the afternoon
train_71,Who closed the debate on August^2 29^2 1807^2
train_72,"On what day was the Chief^3 Justice^3 of the U^3 S^3 pronounced ""Chief Justice""^4 ""U S""^4"
train_73,Which court s opinion in the case of Bollman^3 and Swartwout^3 seemed to convey an opposite doctrine
train_74,Which country s counsel misunderstood Bollman^3 and Swartwout^3
train_75,When did the court adjourn until 10^2 o clock
train_76,"How many British^2 vessels did Capt^3 C^3 see off the Naze^3 ""Capt C""^4"
train_77,"How many British^2 ships did Capt^3 C^3 see off the Naze^3 ""Capt C""^4"
train_78,"On what day did President^3 Adams^3 arrive in Boston^3 ""President Adams""^4"
train_79,"How long did it take for President^3 Adams^3 to arrive at Boston^3 ""President Adams""^4"
train_80,On what date was a letter sent to Charleston^3
train_81,"When did the Custom^3 House^3 send a pilot boat to the Hook^3 ""Custom House""^4"
train_82,"Who sent a pilot boat to the Hook^3 in the absence of the Revenue^3 Cutter^3 ""Revenue Cutter""^4"
train_83,On what day was the pilot boat boarded by men armed with pistols cutlasses and blunderbusses
train_84,On what day was a man detected in supplying the British^2 ships at the Hook^3 with provisions
train_85,Which crew member mutinied on September^2 12^2 1807^2 night
train_86,When did the crew of the Jason^3 mutiny
train_87,"What college has the Rev^2 Mr^3 Asleton^3 been elected President^3 of ""Rev Mr Asleton""^4"
train_88,"What was the 2d^2 division of New^3 Hampshire^3 s Artillery^3 called ""New Hampshire""^4"
train_89,Who was the commanding officer of the 3d^2 Brigade^3 and 2d^2 Division^3 of Militia^3
train_90,"When did JAMES^3 SULLIVAN^3 arrive in New^3 Hampshire^3 ""JAMES SULLIVAN""^4 ""New Hampshire""^4"
train_91,Who was the Governor^3 and Commander^3 in Chief^3 of the Commonwealth^3 of Massachusetts^3
train_92,"When did Miranda^3 arrive in New^3 Hampshire^3 ""New Hampshire""^4"
train_93,What was the captain of Miranda^3 s ship
train_94,"Who was the brig John^3 Adams^3 and Capt^3 Gookin^3 sent to ""John Adams""^4 ""Capt Gookin""^4"
train_95,"How many lots are in Officee^3 Gore^3 ""Officee Gore""^4"
train_96,"When was the sale of furniture at Little^3 Harbor^3 supposed to have taken place ""Little Harbor""^4"
train_97,"When is the Public^3 Sale^3 of Merchandise^3 at Little^3 Harbor^3 postponed ""Public Sale""^4 ""Little Harbor""^4"
train_98,On what day will the farm be sold to the highest bidder
train_99,How many hours before the sale of the farm will the highest bidder be able to bid
train_100,How much of the Farm^3 of Land^3 and Buildings^3 will be sold at auction
train_101,Who died seized of the Farm^3 of Land^3 and Buildings^3
train_102,"How many acres of good mowing tillage pasturing and woodland did Joseph^3 Weather^3 span have ""Joseph Weather""^4"
train_103,How much of the Cider^3 mill is in the Farm^3 of Land^3 and Buildings^3
train_104,"How much was the price of the Prayer^3 Book^3 ""Prayer Book""^4"
train_105,"How many Hogs^3 were killed in Waterford^3 Ireland^3 ""Waterford Ireland""^4"
train_106,When were the Hogs^3 killed and salted for export to England^3
train_107,Along^3 with the navy what other group was killed in 1806^2
train_108,Who said that it was almost a certainty that Jefferson^3 would retire from the presidency
train_109,"Who did The Richmond^3 Enquirer^3 say would retire at the end of his current term ""The Richmond Enquirer""^4"
train_110,"What was the name of the Capt^3 who arrived in St^3 Thomas^3 on May^2 07^2 1807^2 ""St Thomas""^4"
train_111,"How long did it take for the Three^3 Friends^3 to arrive from St^3 Thomas^3 ""Three Friends""^4 ""St Thomas""^4"
train_112,"What city did the schr William^3 John^3 Anderson^3 sail for ""William John Anderson""^4"
train_113,"In what town did the Rev^2 Mr^3 C^3 H^3 SHERMAN^3 preach ""Rev Mr C H SHERMAN""^4"
train_114,"On what day did the Rev^2 Mr^3 C^3 H^3 SHERMAN^3 deliver a sermon ""Rev Mr C H SHERMAN""^4"
train_115,Who was the pastor of the church in Dover^3
train_116,Who delivered a sermon from 1^2 Timothy^3 iv 12^2
train_117,"How many people attended Dr^3 Stillman^3 s funeral ""Dr Stillman""^4"
train_118,"Who delivered the Discourse^3 at the interment of Dr^3 Stillman^3 ""Dr Stillman""^4"
train_119,"Who was the Rev^2 Dr^3 Baldwin^3 interred with ""Rev Dr Baldwin""^4"
train_120,Who was killed by the bursting of his gun in Andover^3
train_121,Who was the pastor of the first parish in Andover^3
train_122,Who has adopted the following Rules^3 and Regulations^3
train_123,When are the Rules^3 and Regulations^3 to be in force from and after
train_124,When are the Rules^3 and Regulations^3 to be in force
train_125,"Who has established a place in the harbor between Fort^3 Constitution^3 and Clark^3 s Island^3 ""Fort Constitution""^4"
train_126,How many plain and figured book Muslins^3 are on colonnade and cobweb
train_127,Which city printed Cambrics^3 and Muslin^3 printed Robes^3
train_128,How many black cypress Shawls^3 are there
train_129,"Who represents that the discoveries of the Kentucky^3 Conspiracy^3 have taken full liberty to abuse and vilify any person who comes in their way ""Kentucky Conspiracy""^4"
train_130,Which ticket has prevailed in the late election for Members^3 of Congress^3 in this state
train_131,When did a melancholy event take place in Templeton^3
train_132,What country s fleet experienced a gale on August^2 25^2 1806^2
train_133,How many sails did the Jamaica^3 fleet have
train_134,How many ships were in the Jamaica^3 fleet
train_135,How many frigates were in the Jamaica^3 fleet
